,Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir,Puissance fiscale-binned
24,MERCEDES,Classe E 2012,350 d DCT,900000.0,2012.0,Seconde,138000.0,Diesel,Automatique,12,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
25,MERCEDES,190 1988,Autre version,35000.0,1988.0,Seconde,400000.0,Diesel,Manuelle,8,Bleu,Bon,non,-,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,non,non,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
26,MERCEDES,Classe C 2011,220 CDI BlueEfficiency Classic,220000.0,2011.0,Seconde,82490.0,Diesel,Manuelle,9,Noir,Excellent,manuelle,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,oui,non,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
27,MERCEDES,Classe C 2008,220 CDI,135000.0,2008.0,Première,200000.0,Diesel,Automatique,9,Noir,Bon,auto. Bi-zone,Electrique AV/AR,Conducteur,oui,non,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,non,oui,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
28,MERCEDES,Classe A 2011,Autre version,83000.0,2011.0,Première,116000.0,Essence,Automatique,8,Blanc,Très bon,manuelle,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
29,MERCEDES,Classe C 2007,220 d,142000.0,2007.0,Seconde,190000.0,Diesel,Automatique,8,Noir,Excellent,non,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,non,oui,non,non,non,oui,non,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
30,MERCEDES,Classe B 2013,180 CDI Pack Sport,166000.0,2013.0,Première,194519.0,Diesel,Automatique,7,Noir,Excellent,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
31,MERCEDES,Classe E 2010,350 d DCT Avantgarde,160000.0,2010.0,Première,140000.0,Diesel,Automatique,12,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
32,MERCEDES,Classe C 2011,200 CDI Classic,150000.0,2011.0,Seconde,180000.0,Diesel,Manuelle,9,Noir,Excellent,auto.,-,non,oui,non,oui,oui,oui,oui,non,oui,non,non,non,non,oui,oui,non,non,non,Rigide,oui,oui,oui,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
33,MERCEDES,Classe A 2000,160 CDI Classic,40000.0,2000.0,Seconde,100000.0,Diesel,Automatique,7,Gris,Correct,non,Electrique AV,non,non,non,non,non,non,non,non,oui,non,non,oui,non,non,oui,non,non,non,Rigide,oui,oui,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
